"district","school","id","year","grads","college","mncollege","remedial"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2009,34,10,10,"fewer than 10"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2010,19,"fewer than 10","fewer than 10","fewer than 10"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2011,26,"fewer than 10","fewer than 10","fewer than 10"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2012,30,"fewer than 10","fewer than 10","fewer than 10"
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2006,309,235,172,33
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2007,291,222,178,32
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2008,318,229,165,30
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2009,291,226,158,22
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2010,283,215,178,30
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2011,263,187,153,22
"Bemidji Public School District","BEMIDJI SENIOR HIGH","0031-01-020",2012,268,205,141,13
"Benson Public School District","BENSON SECONDARY","0777-01-101",2006,82,71,58,"fewer than 10"
"Benson Public School District","BENSON SECONDARY","0777-01-101",2007,73,60,48,12
"Benson Public School District","BENSON SECONDARY","0777-01-101",2008,77,57,41,"fewer than 10"
"Benson Public School District","BENSON SECONDARY","0777-01-101",2009,81,65,48,12
"Benson Public School District","BENSON SECONDARY","0777-01-101",2010,63,53,36,13
"Benson Public School District","BENSON SECONDARY","0777-01-101",2011,92,73,63,19
"Benson Public School District","BENSON SECONDARY","0777-01-101",2012,68,53,38,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2006,38,26,23,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2007,40,31,28,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2008,36,25,23,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2009,41,28,27,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2010,36,30,25,"fewer than 10"
"Bertha-Hewitt Public School District","BERTHA SECONDARY","0786-01-020",2011,30,27,25,"fewer than 10"
